id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4xQ1c5U76S1rcxHYxQE5UB,You Devil You,Themselves,5,2019-11-22,0.49,0.604,8,-11.946,1,0.399,0.257,0.482,0.268,120.323,245307,4
51mdlPfPM4EaQi3V6J1l3G,Out in the Open,Themselves,4,2019-11-22,0.335,0.494,0,-13.34,1,0.678,0.57,0.29,0.0443,110.919,323627,4
6OIp5BCocXkg2ek8LpKfnE,Beat Crisis,Nuearz,0,2010-10-25,0.632,0.98,5,-1.588,1,0.153,0.721,0.0926,0.313,109.951,401867,4
75JpGEpXMRlDOleBorP12e,Phlax,Jega,20,1996-02-26,0.575,0.758,2,-7.819,1,0.158,0.892,0.0995,0.0381,100.015,217190,4
3ur1Pq1vxcezZI6VgaLVVr,Evil Lee Kirtcele,Jega,5,1996-02-26,0.463,0.936,4,-6.636,1,0.0935,0.939,0.202,0.377,119.444,237333,4
2geoH6moKIxmxRUhafagA7,Nuclear Bomb,Meat Beat Manifesto,6,1996-05-06,0.702,0.836,6,-10.475,0,0.0673,0.916,0.388,0.54,124.082,372467,4
2Zr4pmt5wrf8eR92TZP1Te,Voices for Sadness Theme,Franco Micalizzi,33,2011-01-01,0.445,0.344,0,-12.712,0,0.00798,0.626,0.15,0.41,74.784,104560,4
6FgY0tpl4Jv714uPuAokeZ,She's Unreal,Meat Beat Manifesto,22,1996-01-01,0.454,0.576,8,-15.085,1,0.129,0.82,0.388,0.39,87.857,250867,4
4HFLJ7pa7ew8rPdD4qLtet,Asbestos Lead Asbestos,Meat Beat Manifesto,20,1996-01-01,0.361,0.797,4,-11.441,0,0.0223,0.022,0.451,0.58,168.255,382840,4
3sF7cGFv6DLqlJ3x7xJ254,Whats Your Name?,Meat Beat Manifesto,13,1996-01-01,0.618,0.728,8,-10.21,1,0.0563,0.823,0.175,0.674,168.35,167800,4
5AlqmOBXHmUvwjA9ZWrQDR,Lucid Dream,Meat Beat Manifesto,3,1996-05-06,0.695,0.691,0,-10.051,1,0.331,0.0248,0.118,0.49,147.11,129507,4
5vtnm3yYaT8PEV7WyCrQEh,Cancer,Meat Beat Manifesto,3,1996-05-06,0.287,0.891,4,-9.36,1,0.0399,0.628,0.332,0.518,88.588,274027,4
2XbptUhidwHbBSGwt5Nc0j,Transmission,Meat Beat Manifesto,4,1996-05-06,0.629,0.727,8,-11.978,0,0.0207,0.13,0.575,0.733,131.506,249573,4
42cVCh4QZFFO5B6X5Q9qls,Apt. A (1),Illogic,33,2001-05-08,0.442,0.543,6,-8.565,1,0.945,0.00964,0.0897,0.14,72.716,390953,4
34kaX1AOSEJPfzfMCr3DFi,Apt. A (2),cLOUDDEAD,24,2001-05-08,0.378,0.637,9,-7.671,1,0.706,0.193,0.184,0.136,84.726,349991,4
0go7Fg7Y8oIIUFgeDrJ6ZM,And All You Can Do Is Laugh (1),cLOUDDEAD,20,2001-05-08,0.436,0.773,1,-7.657,1,0.439,0.803,0.232,0.14,91.796,332982,4
3h1LYa4Ym2k2Kr3zSge62r,And All You Can Do Is Laugh (2),cLOUDDEAD,17,2001-05-08,0.52,0.625,11,-8.825,1,0.428,0.624,0.561,0.402,130.209,349608,4
4fOZRGlQap99hu3iA7m9CR,I Promise Never To Get Paint On My Glasses Again (2),cLOUDDEAD,16,2001-05-08,0.218,0.299,7,-13.659,1,0.516,0.975,0.116,0.0348,107.908,362693,4
4952MAlZAYkrIDK610mS8u,Bike (1),cLOUDDEAD,14,2001-05-08,0.335,0.62,10,-8.354,1,0.198,0.00166,0.115,0.354,89.64,431297,4
4Puc0pga5MrcwPnLE9yjN5,(Cloud Dead Number Five) (2),cLOUDDEAD,13,2001-05-08,0.226,0.348,5,-15.772,1,0.731,0.97,0.124,0.156,111.098,365848,4
0UVIGa8kSgYkA7bV66AdCl,JimmyBreeze (2),cLOUDDEAD,15,2001-05-08,0.321,0.675,6,-8.752,0,0.642,0.325,0.12,0.102,140.43,330962,4
2q13QoVfL4gtBsRETQVkCV,Als wär's das letzte Mal,DAF,35,1981-01-06,0.72,0.701,6,-10.612,1,0.0232,0.752,0.109,0.894,94.154,207194,4
0HBxDBevZpURpGv8MVkMo7,Questions over Coffee,Doseone,3,2000-08-01,0.503,0.814,5,-9.656,1,0.413,0.0,0.144,0.559,117.262,196093,3
7DjJ1tAyNGybE2mxAOXVid,Dead Man's Teal,Doseone,5,2000-08-01,0.689,0.711,5,-12.393,1,0.436,0.254,0.342,0.772,156.814,177667,4
70HxNVlYQ0Hi6XqBtPLw80,Lady - Hear Me Tonight,Modjo Band,63,2001,0.72,0.808,6,-5.627,1,0.00793,0.0293,0.0634,0.869,126.041,307154,4
3on9znKmGp0TaYcWPhqdVE,If I Had a Heart,Fever Ray,59,2009-01-12,0.407,0.236,4,-16.189,1,0.777,0.812,0.107,0.122,170.136,228400,4
0SlVvyU9LWTzsnPc8lcoUs,Ghost Rider - 2019 - Remaster,Suicide,46,1977-12-28,0.25,0.64,1,-8.745,1,0.072,0.682,0.105,0.549,191.472,153440,4
510L55qTlVIJcvnURoj0JF,Johnny - 2019 - Remaster,Suicide,32,1977-12-28,0.281,0.817,9,-12.292,1,0.338,0.911,0.102,0.925,169.668,130680,4
