id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1szcqjv31ORgVlb9hrrY9V,Try Me,Kero Kero Bonito,0,2016-10-21,0.907,0.568,10,-6.742,1,0.0409,0.00467,0.0693,0.659,107.017,209720,4
3LuLUNgRmmgcr14dTIWH2S,Trampoline,Kero Kero Bonito,0,2016-10-21,0.856,0.863,10,-4.318,0,0.0525,0.0,0.384,0.673,124.998,243840,4
0f2uHiRUJoiUIPVzcpPosh,Picture This,Kero Kero Bonito,0,2016-10-21,0.744,0.821,11,-4.549,0,0.00139,6.11e-05,0.112,0.674,106.975,204497,4
7BXhoa9BEQ5u4Qu6PMu5rl,Hey Parents,Kero Kero Bonito,0,2016-10-21,0.836,0.645,9,-4.855,1,0.0851,1.94e-06,0.102,0.894,179.925,202844,4
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,MGMT,82,2018-02-09,0.705,0.712,6,-6.156,1,0.0102,0.000855,0.1,0.62,97.512,299960,4
0t4z0WaQomQqPONghWn8c2,Me and Michael,MGMT,60,2018-02-09,0.628,0.841,9,-4.583,1,0.0285,0.00332,0.254,0.706,111.985,289853,4
52pWggDlN5mVeX111i06PP,One Thing Left to Try,MGMT,50,2018-02-09,0.576,0.94,8,-4.541,1,0.00678,0.00066,0.308,0.667,128.017,260347,4
43E0f1S0rOGCo6YYRYHjHP,Heat Wave,Snail Mail,0,2018-06-08,0.504,0.682,9,-5.702,1,0.0002,0.00205,0.147,0.207,123.848,308347,4
0INUNNYfsp4qr6kJdY46mY,Travelin' Band,Creedence Clearwater Revival,56,1970-07-25,0.513,0.92,6,-6.664,1,0.0166,0.0282,0.178,0.963,166.186,127493,4
3RTUfvRgq3pYTf7XY0FIcS,Lookin' Out My Back Door,Creedence Clearwater Revival,63,1970-07-25,0.745,0.656,10,-6.393,1,0.188,0.00337,0.0941,0.858,105.318,152453,4
0T7iwFLmkeKuKvFdtUTKGe,Se Eu Soubesse,Viratempo,38,2018-11-16,0.572,0.535,6,-8.184,0,0.0495,0.0551,0.162,0.675,126.994,217151,4
6f8dVDn1vWbWIfUouv9iJp,Emotion,Carly Rae Jepsen,43,2015-08-21,0.761,0.628,7,-4.447,1,0.0688,0.000921,0.0969,0.271,113.972,197347,4
5e0vgBWfwToyphURwynSXa,Run Away With Me,Carly Rae Jepsen,55,2015-08-21,0.564,0.719,1,-5.505,1,0.0126,0.000177,0.0536,0.251,119.023,251320,4
2YalDCU0tWxJfNdFPor3Rh,Boy Problems,Carly Rae Jepsen,39,2015-08-21,0.703,0.91,2,-4.095,0,0.0121,0.000417,0.0687,0.829,112.042,222280,4
13zEyjK3DZm0YtZObaaS1O,Making The Most Of The Night,Carly Rae Jepsen,37,2015-08-21,0.608,0.875,8,-4.636,1,0.00382,0.00285,0.158,0.529,112.924,238507,4
6EvmFI1bV10Rtank7f1uQW,Favourite Colour,Carly Rae Jepsen,35,2015-08-21,0.6,0.658,0,-5.386,1,0.0817,5.37e-06,0.42,0.677,146.007,208880,4
2HnMhvOVA1FK8C61nMhJEj,Super Natural,Turnover,0,2017-08-25,0.651,0.664,5,-7.929,1,0.206,0.202,0.0977,0.559,121.025,257860,4
7esYLvFrtQ2G2wQHROffga,What Got In The Way,Turnover,0,2017-08-25,0.496,0.816,7,-7.277,1,0.177,0.837,0.162,0.683,146.595,217982,4
3D5vEz9p6xU9Xo2gRcCTF6,Pure Devotion,Turnover,0,2017-08-25,0.651,0.583,8,-8.769,1,0.375,0.00342,0.109,0.72,87.459,231603,4
5S02KhUy07R8dDlfEv7HFw,Nightlight Girl,Turnover,0,2017-08-25,0.666,0.61,0,-7.404,1,0.365,0.0307,0.116,0.578,111.978,226863,4
1Ttu4TYbFIXYDFzOgfVedO,How To Build A Relationship,JPEGMAFIA,46,2019-03-22,0.765,0.814,6,-3.399,0,0.0979,0.0,0.339,0.628,103.023,184817,4
5z4TlJ5NN7OQfEBq0InOvM,Is It Cold In The Water? - Flume & Eprom Remix,Eprom,42,2019-03-22,0.202,0.694,1,-6.974,0,0.000657,0.000289,0.483,0.152,158.865,287331,5
1M321puDN1WBd5NF0ogOKW,Habit,Still Woozy,0,2018-12-07,0.766,0.402,1,-11.155,1,0.27,0.0007,0.106,0.466,125.107,153857,4
3977oy5kwFbW4zLR8NmhjN,Koruna & Lime (Feat. A-Trak),A-Trak,37,2019-05-17,0.443,0.597,0,-8.039,0,0.0205,0.0,0.319,0.518,77.024,146760,4
3zbYsEDFISyrjdENY7G2tR,Jawbreaker (Feat. Rico Nasty & Pro Teens),Pro Teens,36,2019-05-17,0.798,0.584,1,-7.722,0,0.243,0.0,0.042,0.792,110.978,208587,4
7w0YG5qn9w8LYA4tHpQe0o,Jailbreak the Tesla (Feat. Aminé),Aminé,46,2019-05-17,0.474,0.698,8,-5.541,0,0.069,0.0,0.179,0.729,102.289,199600,3
13yFBO0mxphhrphW3s6dx2,Wax On (Feat. Freddie Gibbs),Freddie Gibbs,39,2019-05-17,0.666,0.861,4,-4.819,0,0.182,0.0,0.342,0.436,158.024,267947,4
19YKaevk2bce4odJkP5L22,Nikes,Frank Ocean,73,2016-08-20,0.633,0.395,8,-9.638,1,0.692,0.000222,0.108,0.123,138.023,314075,4
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,88,2016-08-20,0.545,0.545,9,-7.362,1,0.667,5.48e-05,0.417,0.549,159.94,184516,3
5GUYJTQap5F3RDQiCOJhrS,Self Control,Frank Ocean,78,2016-08-20,0.581,0.21,8,-10.426,1,0.768,0.0,0.369,0.452,80.099,249668,4
4lRUr1HeCWtCwyHCIfIqTt,Cutting My Fingers Off,Turnover,0,2015-09-04,0.418,0.665,5,-7.868,1,0.0422,0.0655,0.125,0.245,157.063,195984,4
4pFNMSkCmEHk8U408TmQTE,New Scream,Turnover,0,2015-09-04,0.532,0.745,2,-7.439,1,0.199,0.00214,0.109,0.473,165.969,252261,4
7lLJ35wRNyPZrocjhDfCBq,Humming,Turnover,0,2015-09-04,0.478,0.733,5,-7.667,1,0.185,0.00217,0.107,0.384,155.048,238494,4
3bnaWBcQa4W61m39pPDSFX,Take My Head,Turnover,0,2015-09-04,0.316,0.859,2,-6.982,1,0.221,0.15,0.102,0.355,160.925,193911,4
3wnlfgRMOsQMLoJGyHDEHz,745 sticky,Laura Les,0,2019-05-31,0.608,0.708,6,-5.682,1,0.128,8.65e-05,0.821,0.798,75.048,141290,4
58aRrOlOxUYWioWhz172w4,money machine,Laura Les,0,2019-05-31,0.68,0.659,6,-7.186,1,0.229,0.0,0.474,0.75,98.877,114460,4
6tbiixKgvaDuii0L5F49bg,800db cloud,Laura Les,0,2019-05-31,0.399,0.754,5,-5.283,0,0.205,0.0,0.742,0.36,130.475,140183,4
2YDGAsI8ZY7fFDKga3Boqf,xXXi_wud_nvrstøp_ÜXXx,Laura Les,0,2019-05-31,0.639,0.737,9,-6.683,1,0.148,0.00111,0.12,0.182,154.984,174675,4
6D7wPuNjkQUsIvLeOeIHsM,ringtone,Laura Les,0,2019-05-31,0.612,0.349,8,-6.984,1,0.0779,0.0,0.202,0.79,107.929,143663,4
0XWTLNFUHKMfUuTlWqHkeO,hand crushed by a mallet,Laura Les,0,2019-05-31,0.659,0.473,1,-7.306,0,0.274,0.0,0.28,0.788,84.505,126616,4
1mqWaIqQfQXc43YCoxQUWt,gec 2 Ü,Laura Les,0,2019-05-31,0.522,0.72,0,-8.942,1,0.0661,1.91e-06,0.0754,0.647,170.035,197658,4
6s0w7lSvo6YZNNenG9LWMT,Hunting For Sport,Remo Drive,33,2017-03-17,0.426,0.827,8,-6.659,0,0.000431,0.000184,0.29,0.236,135.247,235825,4
4vwEz8K8Z2COiJ3N9G9Ypv,Art School,Remo Drive,44,2017-03-17,0.558,0.942,1,-5.571,0,0.000486,0.000106,0.225,0.488,159.888,195639,4
0BpKPyXhWsTaWkgXeOd1Sn,Thank You for the Venom,My Chemical Romance,66,2004-06-08,0.486,0.977,7,-3.463,1,0.00237,0.0,0.298,0.413,103.501,221093,4
